playerID,inducted,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,SH,SF,GIDP,AVG,award_count
aaronha01,Y,2174,3771,624,98,755,2297,240,73,1402,1383,293,21,121,328,0.304998382400518,16
abbotji01,N,0,2,0,0,0,3,0,0,0,10,0,3,0,0,0.0952380952380952,2
adamsba01,N,79,216,31,15,3,75,1,1,53,194,0,35,0,0,0.211972522080471,2
ageeto01,N,558,999,170,27,130,433,167,81,342,918,26,21,15,99,0.255368098159509,3
akerja01,N,3,7,2,0,0,4,0,0,1,51,0,10,0,1,0.0760869565217391,1
alexape01,Y,154,378,60,13,11,163,3,5,77,276,0,88,0,0,0.208839779005525,21
allendi01,N,1099,1848,320,79,351,1119,133,52,894,1556,138,19,53,164,0.291850915982312,5
allenjo02,N,82,124,12,3,4,64,1,0,33,155,0,36,0,8,0.173184357541899,4
alleyge01,N,442,999,140,44,55,342,63,30,300,622,62,56,22,95,0.254392666157372,4
alomaro01,Y,1508,2724,504,80,210,1134,474,114,1032,1140,62,148,97,206,0.300231455968257,21
alomasa02,N,520,1236,249,10,112,588,25,24,212,499,15,48,34,132,0.272847682119205,3
aloufe01,N,985,2101,359,49,206,852,107,67,423,706,67,33,56,135,0.286278784575555,1
alouma01,N,780,1777,236,50,31,427,156,80,311,377,38,55,29,101,0.306961478666436,1
aloumo01,N,1109,2134,421,39,332,1287,106,37,737,894,91,9,82,195,0.30325422765383,5
anderga01,N,1084,2529,522,36,287,1365,80,47,429,1224,104,13,87,197,0.292708333333333,5
aparilu01,Y,1335,2677,394,92,83,791,506,136,736,742,22,161,76,184,0.261681329423265,15
applilu01,N,1319,2749,440,102,45,1116,179,108,1302,528,0,74,0,129,0.310411020776874,10
archeji01,N,246,660,106,34,16,296,36,6,124,283,0,93,0,0,0.249433106575964,9
aurilri01,N,745,1576,301,22,186,756,23,18,450,861,22,36,47,140,0.275476315329488,2
ausmubr01,N,718,1579,270,34,80,607,102,53,634,1034,69,82,37,201,0.251473164516643,3
averiea01,Y,1224,2019,401,128,238,1164,70,57,774,518,0,55,0,7,0.317802612938769,11
baergca01,N,731,1583,279,17,134,774,59,24,291,580,41,26,66,158,0.291046148189005,4
bagweje01,Y,1517,2314,488,32,449,1529,202,78,1401,1558,155,3,102,221,0.296780813133256,11
bahnsst01,N,22,56,8,2,1,19,0,0,19,225,0,43,1,4,0.116910229645094,1
baineha01,N,1299,2866,488,49,384,1628,34,34,1062,1441,187,9,99,298,0.289261203068228,4
bakerdu01,N,964,1981,320,23,242,1013,137,73,762,926,52,27,85,158,0.27834761837853,5
bakerfr01,Y,887,1838,315,103,96,987,235,28,473,268,0,153,0,0,0.307152406417112,7
bancrda01,Y,1048,2004,320,77,32,591,145,75,827,487,0,212,0,0,0.279030910609858,8
bandosa01,N,982,1790,289,38,242,1039,75,46,1031,923,69,65,57,149,0.253541076487252,2
bankser01,Y,1305,2583,407,90,512,1636,50,53,763,1236,198,45,96,229,0.274174716059866,10
barryja01,N,532,1009,142,38,10,429,153,18,396,261,0,284,0,0,0.243367100820068,2
bartedi01,N,1130,2165,442,71,79,710,109,3,748,627,0,269,0,102,0.283785555118626,2
baylodo01,N,1236,2135,366,28,338,1276,285,120,805,1069,91,16,115,196,0.260429373017809,9
beckegl01,N,685,1473,196,31,22,360,49,25,260,243,3,58,27,114,0.282834101382488,4
beckro01,N,0,4,0,0,0,1,0,0,0,10,0,1,0,0,0.210526315789474,1
bedrost01,N,3,15,0,0,0,2,0,0,3,58,0,12,0,0,0.0980392156862745,3
belanma01,N,676,1316,175,33,20,389,167,75,576,839,22,155,45,83,0.227524204702628,9
bellbu01,N,1151,2514,425,56,201,1106,55,79,836,776,84,60,80,255,0.279488604780434,10
belleal01,N,974,1726,389,21,381,1239,88,41,683,961,91,4,78,193,0.294891508628054,11
bellge02,N,814,1702,308,34,265,1002,67,36,331,771,53,0,83,165,0.277968316184877,8
bellja01,N,1123,1963,394,67,195,860,91,60,853,1443,25,159,58,165,0.265341984320086,3
benchjo01,Y,1091,2048,381,24,389,1376,68,43,891,1278,135,11,90,201,0.267432750065291,26
bendech01,Y,102,243,40,10,6,116,20,0,75,143,0,42,0,0,0.211857018308631,3
benitar01,N,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2
bentola01,N,54,122,12,2,2,42,1,0,30,181,0,52,0,2,0.165311653116531,2
bergewa01,N,809,1550,299,59,242,898,36,0,435,694,0,27,0,69,0.300213054425721,5
berrayo01,Y,1175,2150,321,49,358,1430,30,26,704,414,49,9,44,146,0.28457974851092,13
berryke01,N,422,1053,150,23,58,343,45,46,298,569,31,64,17,108,0.254593810444874,2
bibbyji01,N,15,31,6,0,5,17,0,0,13,88,0,24,1,1,0.148325358851675,1
bicheda01,N,934,1906,401,27,274,1141,152,73,355,1078,32,5,73,176,0.298699263438333,2
bigbeca01,N,629,1205,139,75,17,324,182,68,344,161,0,109,0,0,0.287452290076336,2
biggicr01,Y,1844,3060,668,55,291,1175,414,124,1160,1753,68,101,81,150,0.281353438764252,17
blackew01,N,31,77,12,1,1,22,0,0,12,73,0,28,0,8,0.173814898419865,3
blairpa01,N,776,1513,282,55,134,620,171,93,449,877,23,108,51,126,0.250413770274743,10
bluegos01,N,883,1751,276,67,43,848,140,87,723,515,0,218,0,2,0.271894409937888,2
bluevi01,N,37,53,9,0,4,15,0,2,49,271,0,53,1,2,0.103515625,6
boddimi01,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
boggswa01,Y,1513,3010,578,61,118,1014,24,35,1412,745,180,29,96,236,0.327886710239651,17
bondsba01,N,2227,2935,601,77,762,1996,514,141,2558,1539,688,4,91,165,0.298060322940997,47
