playerID,inducted,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,SH,SF,GIDP,AVG,PO,A,E,DP,award_count
hraboal01,N,4,8,0,1,0,6,0,0,4,17,0,8,0,0,0.142857142857143,20,58,8,4,1
hrbekke01,N,903,1749,312,18,293,1086,37,26,838,798,110,15,66,165,0.282461240310078,13725,1051,87,1331,1
hubbeca01,Y,95,246,30,2,4,101,1,0,33,172,0,75,0,12,0.190993788819876,155,824,33,55,22
hudsoor01,N,648,1319,256,66,93,542,85,28,483,825,21,33,42,138,0.273367875647668,2652,3860,92,847,4
huffau01,N,806,1699,360,24,242,904,37,25,571,907,80,0,63,160,0.278342070773263,5159,921,85,459,1
hundlra01,N,311,813,118,13,82,381,12,17,271,565,41,44,27,92,0.236199883788495,5765,493,61,65,1
hunteca01,Y,60,149,16,3,6,51,2,0,8,160,0,39,5,10,0.22644376899696,225,319,23,16,3
huntro01,N,745,1429,223,23,39,370,65,55,555,382,22,103,22,100,0.272970391595033,2822,3807,185,713,1
jacksda02,N,28,54,12,2,0,28,0,2,10,219,0,54,1,2,0.126168224299065,105,285,30,17,2
jacksjo01,N,873,1772,307,168,54,785,202,61,519,172,0,131,0,0,0.355751857056816,2646,198,107,48,11
jacksre01,Y,1551,2584,463,49,563,1702,228,115,1375,2597,164,13,68,183,0.261962692619627,4062,133,142,31,13
jackstr01,Y,833,1768,291,86,135,929,71,13,412,565,0,171,0,39,0.290502793296089,3174,5178,423,857,12
jenkife01,Y,54,148,27,6,13,85,0,1,41,326,0,66,7,9,0.165178571428571,363,660,49,45,5
jenseja01,N,810,1463,259,45,199,929,143,55,750,546,28,18,52,185,0.279411764705882,2739,124,68,20,3
johnsbo01,N,1239,2051,396,95,288,1283,96,64,1075,851,0,28,0,102,0.296387283236994,4416,352,163,102,1
johnsch04,N,465,940,211,4,167,570,6,10,475,997,29,18,31,112,0.245046923879041,7218,568,51,107,4
johnsda02,N,564,1252,242,18,136,609,33,25,559,675,57,26,43,126,0.260996456118407,3862,3339,142,860,5
johnsde01,N,706,1447,247,33,245,923,11,18,585,1318,54,13,61,164,0.243561689951187,7038,974,104,629,1
johnsho01,N,760,1229,247,22,228,760,231,77,692,1053,105,9,57,61,0.248785425101215,1276,2147,217,252,3
johnsra05,Y,20,78,14,0,1,40,0,0,19,296,0,44,1,10,0.1248,90,448,57,18,13
johnswa01,Y,241,547,94,41,24,255,13,4,110,339,0,70,0,0,0.235370051635112,292,1352,53,72,33
johnto01,N,43,141,13,0,5,54,0,0,33,211,0,93,3,20,0.156666666666667,237,1028,49,69,3
