playerID,yearID,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,AVG
abreuto01,12065,6,224,579,61,147,39,6,6,60.0,2.0,4.0,22,116.0,2.0,5.0,1.0,8.0,20.0,0.2538860103626943
abreuwi01,8031,5,38,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
abstebi01,5725,3,170,619,54,150,22,10,1,76.0,21.0,0.0,29,75.0,0.0,4.0,29.0,0.0,0.0,0.24232633279483037
accarje01,20086,12,262,7,0,1,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
aceveal01,14077,7,204,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
acevejo01,10015,5,104,101,2,8,2,0,0,4.0,0.0,0.0,5,61.0,0.0,1.0,12.0,1.0,2.0,0.07920792079207921
aceveju01,19999,12,367,65,4,6,2,0,0,0.0,0.0,0.0,3,33.0,0.0,0.0,6.0,0.0,2.0,0.09230769230769231
achteaj01,6045,3,45,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ackerji01,23850,14,467,54,2,9,1,0,0,1.0,0.0,0.0,2,32.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666
ackerto01,7830,4,153,77,10,5,0,0,0,2.0,0.0,0.0,12,46.0,0.0,1.0,6.0,0.0,1.0,0.06493506493506493
ackledu01,14096,8,635,2125,261,512,94,18,46,216.0,31.0,12.0,194,419.0,10.0,5.0,11.0,12.0,25.0,0.24094117647058824
acklefr01,3927,2,5,6,0,2,1,0,0,1.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
acostcy01,7894,4,107,7,0,0,0,0,0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
acosted01,5913,3,57,29,1,1,0,0,0,0.0,0.0,0.0,1,15.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655
acostjo01,5763,3,55,60,4,9,1,0,0,1.0,1.0,0.0,11,22.0,0.0,0.0,3.0,0.0,0.0,0.15
acostma01,12057,6,233,6,0,0,0,0,0,0.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0
acostme01,11494,7,180,436,56,111,9,7,0,37.0,17.0,8.0,63,46.0,0.0,4.0,19.0,0.0,0.0,0.2545871559633027
acrema01,7982,4,114,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
acunaro01,4037,2,267,1059,205,302,48,6,67,165.0,53.0,14.0,121,311.0,6.0,15.0,0.0,4.0,12.0,0.28517469310670446
adairje01,29465,17,1165,4019,378,1022,163,19,57,366.0,29.0,29.0,208,499.0,31.0,17.0,41.0,30.0,149.0,0.25429211246578753
adairji01,1931,1,18,76,9,21,3,1,0,3.0,1.0,0.0,1,8.0,0.0,0.0,2.0,0.0,0.0,0.27631578947368424
adamecr01,10081,5,176,328,32,70,9,4,2,22.0,2.0,4.0,30,77.0,1.0,5.0,4.0,0.0,6.0,0.21341463414634146
adamewi01,4037,2,237,819,112,215,32,1,30,86.0,10.0,7.0,77,248.0,4.0,4.0,4.0,3.0,15.0,0.2625152625152625
adamja01,4037,2,54,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
adamsac01,11661,6,302,99,9,12,0,0,0,2.0,0.0,0.0,6,14.0,0.0,0.0,8.0,0.0,2.0,0.12121212121212122
adamsau01,10083,6,68,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
adamsau02,8073,5,38,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsba01,36411,19,482,1019,79,216,31,15,3,75.0,1.0,1.0,53,194.0,0.0,1.0,35.0,0.0,0.0,0.21197252208047104
adamsbe01,15318,8,267,678,37,137,17,4,2,45.0,9.0,0.0,23,82.0,0.0,1.0,23.0,0.0,0.0,0.20206489675516223
adamsbo01,1925,1,2,3,1,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
adamsbo02,3863,2,5,3,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adamsbo03,29290,16,1281,4019,591,1082,188,49,37,303.0,67.0,30.0,414,447.0,1.0,17.0,78.0,5.0,62.0,0.2692211993033093
adamsbo04,1977,1,15,24,2,6,1,0,2,2.0,0.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.25
adamsbu01,15552,10,576,2003,282,532,96,12,50,249.0,12.0,0.0,234,281.0,0.0,13.0,42.0,0.0,35.0,0.2656015976035946
adamsch01,4037,2,16,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,
adamsda01,3829,2,47,55,1,8,0,0,1,3.0,0.0,0.0,3,18.0,0.0,0.0,1.0,0.0,0.0,0.14545454545454545
adamsda02,2013,1,43,140,10,27,5,1,2,13.0,0.0,0.0,9,43.0,0.0,2.0,1.0,0.0,4.0,0.19285714285714287
adamsdi01,1947,1,37,89,9,18,2,3,2,11.0,0.0,0.0,2,18.0,0.0,0.0,2.0,0.0,0.0,0.20224719101123595
adamsdo01,1969,1,8,14,1,3,0,0,0,1.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,1.0,0.21428571428571427
