playerID,inducted,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,SH,SF,GIDP,AVG,PO,A,E,DP,W,L,CG,SHO,SV,H_allowed,ER,HR_allowed,BB_allowed,StruckOut,BAOpp,ERA,WP,HitBatsmen,BK,R_allowed,SH_allowed,SF_allowed,GIDP_pitcher,award_count
shockur01,N,89,167,23,3,1,70,1,3,139,211,0,98,0,0,0.209273182957393,155,599,15,22,187,117,200,28,25,2709,945,126,657,983,0.266153846153846,2.80307692307692,20,37,3,1127,0,0,0,4
sislege01,Y,1284,2812,425,164,102,1175,375,127,472,327,0,226,0,0,0.340147574694569,18914,1573,274,1472,5,6,9,1,3,91,29,0,52,63,0.124285714285714,1.19,2,6,1,36,0,0,0,16
smithle02,N,2,3,0,0,1,2,0,0,3,42,0,4,0,0,0.046875,52,111,4,9,71,92,0,0,478,1133,434,89,486,1251,0.235190476190476,3.00285714285714,47,10,4,475,63,38,77,7
smoltjo01,Y,77,151,26,2,5,61,3,2,79,365,0,136,1,15,0.159282700421941,320,433,28,30,213,155,53,16,154,3074,1284,288,1010,3084,0.240681818181818,3.51,145,57,16,1391,139,87,244,10
spahnwa01,Y,141,363,57,6,35,189,4,2,94,487,0,68,14,23,0.193910256410256,222,999,58,82,363,245,382,63,29,4830,1798,434,1434,2583,0.245909090909091,3.27772727272727,81,42,5,2016,0,0,0,16
speaktr01,Y,1882,3514,792,222,117,1529,432,129,1381,323,0,309,0,0,0.344678764100049,6935,462,224,159,0,0,0,0,0,2,1,0,0,0,0.5,9,0,0,0,1,0,0,0,27
stewada01,N,5,10,1,1,0,4,0,0,3,17,0,6,0,0,0.196078431372549,197,232,26,21,168,129,55,9,19,2499,1154,264,1034,1741,0.252526315789474,4.04842105263158,119,62,23,1259,93,94,172,6
stiebda01,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,493,22,45,176,137,103,30,3,2572,1106,225,1034,1669,0.2473125,3.7525,51,129,14,1225,98,70,235,2
stonest01,N,9,22,2,0,0,7,0,0,11,92,0,22,0,2,0.100456621004566,125,254,22,13,107,93,43,7,1,1707,788,184,716,1065,0.252636363636364,4.00181818181818,31,40,5,880,87,39,93,3
stottme01,N,54,120,14,6,7,57,0,2,47,270,0,42,4,14,0.160213618157543,242,570,26,38,164,139,152,40,1,2435,878,171,809,1257,0.241545454545455,2.95909090909091,57,44,1,1003,40,31,48,1
stottto01,N,23,50,7,1,1,11,1,1,28,93,0,26,0,1,0.206611570247934,166,261,18,19,138,121,25,6,1,2200,1042,246,816,1587,0.2676,4.52733333333333,64,83,10,1130,61,78,138,2
sutclri01,N,42,102,22,1,4,55,4,0,34,143,0,54,5,15,0.181494661921708,211,404,17,25,171,139,72,18,6,2662,1223,236,1081,1679,0.259578947368421,3.88947368421053,100,46,38,1324,110,89,185,8
suttebr01,Y,6,9,0,0,0,6,1,0,7,50,0,10,1,1,0.0882352941176471,90,145,9,9,68,71,0,0,300,879,328,77,309,861,0.232166666666667,3.08,37,13,8,370,75,25,85,10
suttodo01,Y,64,195,15,1,0,64,1,0,60,365,0,136,3,29,0.144017725258493,334,613,31,42,324,256,178,58,5,4692,1914,472,1343,3574,0.23764,3.3092,112,82,21,2104,168,105,190,3
tananfr01,N,3,9,1,1,0,5,0,1,2,12,0,3,0,0,0.152542372881356,226,638,19,40,240,236,143,34,1,4063,1704,448,1255,2773,0.253434782608696,3.75521739130435,119,129,27,1910,165,117,309,2
tennefr02,N,1278,2231,270,77,22,688,285,0,874,484,0,277,0,0,0.293745885450955,18278,1452,361,965,0,0,0,0,0,5,1,0,1,0,,4.5,1,0,0,4,0,0,0,1
tiantlu01,N,36,84,14,1,5,44,1,1,13,146,0,41,2,10,0.16374269005848,221,389,35,31,229,172,187,49,15,3075,1280,346,1104,2416,0.238052631578947,3.52736842105263,27,49,4,1400,76,55,119,1
timlimi01,N,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,101,188,14,14,75,73,0,0,141,1168,486,118,377,872,0.256142857142857,3.72238095238095,31,47,3,533,58,32,122,1
troutdi01,N,99,205,28,7,20,110,7,2,59,226,0,26,0,18,0.213319458896982,193,645,50,63,170,161,158,28,35,2641,979,112,1046,1256,0.290625,8.4,50,34,7,1166,0,0,0,3
tudorjo01,N,22,59,7,2,0,18,1,1,17,120,0,41,1,3,0.153645833333333,85,321,11,27,117,72,50,16,1,1677,623,156,475,988,0.262153846153846,3.38076923076923,18,29,10,700,69,45,137,1
turneji01,N,32,87,16,1,1,22,0,1,8,39,0,17,0,7,0.218045112781955,55,269,12,18,69,60,69,8,20,1123,405,67,283,329,0.253,3.884,6,10,0,482,0,0,0,2
uhlege01,N,172,393,60,21,9,187,6,8,98,112,0,36,0,0,0.288970588235294,175,624,33,42,200,166,232,21,25,3417,1384,119,966,1135,0.302105263157895,6.01578947368421,55,113,5,1635,0,0,0,5
valenfe01,N,56,187,26,1,10,84,0,2,8,145,0,93,6,12,0.199786324786325,202,586,30,31,173,153,113,31,2,2718,1154,226,1151,2074,0.257944444444444,4.05333333333333,119,25,11,1303,182,69,209,9
vanceda01,Y,68,146,23,1,7,75,1,0,79,287,0,55,0,4,0.150360453141092,126,570,18,29,197,140,216,29,11,2809,1068,132,840,2045,0.286111111111111,4.65944444444444,37,77,2,1246,0,0,0,11
vandejo01,N,58,104,12,2,1,26,1,0,41,201,0,60,0,8,0.151824817518248,82,404,29,30,119,121,131,29,2,1799,805,100,1132,1294,0.248461538461538,4.70538461538462,37,21,3,915,0,0,0,6
venturo01,N,1006,1885,338,14,294,1182,24,38,1075,1179,132,33,76,176,0.266845979614949,2215,3616,227,430,0,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,6
violafr01,N,8,26,3,0,0,6,0,0,3,41,0,22,0,2,0.140540540540541,84,371,32,19,176,150,74,16,0,2827,1175,294,864,1844,0.2715625,4.1925,86,48,12,1303,88,63,215,6
vuckope01,N,15,33,7,0,0,13,1,0,3,49,0,24,2,3,0.158653846153846,87,222,21,15,93,69,38,8,10,1454,592,107,545,882,0.276818181818182,4.64363636363636,46,35,10,665,67,41,125,1
wadderu01,Y,61,172,29,10,4,83,6,0,42,300,0,23,0,0,0.161350844277674,176,740,91,17,193,143,261,50,5,2460,711,37,803,2316,,2.90142857142857,74,115,3,1063,0,0,0,2
wagnebi02,N,1,2,0,0,0,1,0,0,1,12,0,0,0,0,0.1,33,86,5,2,47,40,0,0,422,601,232,82,300,1196,0.166588235294118,2.19294117647059,43,33,1,262,33,14,51,1
wagneho01,N,1739,3420,643,252,101,1733,723,15,963,735,0,221,0,0,0.32761758789156,7940,6782,828,963,0,0,0,0,0,7,0,0,6,6,,0,3,0,0,5,0,0,0,12
wakefti01,N,4,13,2,0,1,4,0,0,3,47,0,15,0,0,0.117117117117117,227,329,30,29,200,180,33,6,22,3152,1582,418,1205,2156,0.254315789473684,4.40105263157895,134,186,8,1791,51,109,232,1
walberu01,N,78,162,26,5,4,84,2,1,48,179,0,52,0,0,0.179005524861878,113,558,37,18,155,141,140,15,32,2795,1223,163,1031,1085,0.2725,4.614375,40,27,2,1423,0,0,0,1
