playerID,yearID,stint,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
dixonbr01,20185,10,171,107.0,3082.0,600,66,8.0,56,0.0,0.0,0.0,0.0,0.0
dixonke01,7942,4,105,68.0,1447.0,44,47,7.0,2,0.0,0.0,0.0,0.0,0.0
dixonle01,7707,4,157,0.0,0.0,492,139,19.0,12,6.0,0.0,0.0,0.0,0.0
dixonso01,9772,6,102,6.0,432.0,18,72,1.0,1,0.0,0.0,0.0,0.0,0.0
dixonst01,3987,2,6,0.0,15.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0
dixonto01,7917,4,62,24.0,599.0,17,28,3.0,2,0.0,0.0,0.0,0.0,0.0
dlugabr01,4018,2,4,0.0,21.0,1,3,0.0,0,0.0,0.0,0.0,0.0,0.0
doakbi01,32642,18,453,0.0,0.0,103,934,43.0,33,0.0,0.0,0.0,0.0,0.0
doanewa01,5728,3,9,3.0,117.0,7,4,3.0,0,0.0,0.0,0.0,0.0,0.0
dobbeda01,5880,3,142,93.0,2800.0,234,7,5.0,1,0.0,0.0,0.0,0.0,0.0
dobbjo01,1924,1,2,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
dobbsgr01,58255,30,529,413.0,10686.0,1009,487,43.0,94,0.0,0.0,0.0,0.0,0.0
dobbsjo01,19029,12,575,214.0,14814.0,1195,83,68.0,19,0.0,0.0,0.0,0.0,0.0
dobenra01,1929,1,11,0.0,0.0,2,2,1.0,0,0.0,0.0,0.0,0.0,0.0
doberje01,7785,5,76,0.0,0.0,8,10,2.0,0,0.0,0.0,0.0,0.0,0.0
dobnara01,2019,1,9,5.0,85.0,2,2,1.0,0,0.0,0.0,0.0,0.0,0.0
dobsoch01,17733,9,202,190.0,3775.0,70,184,5.0,16,0.0,0.0,0.0,0.0,0.0
dobsojo01,27255,14,414,0.0,8.0,126,341,11.0,24,0.0,0.0,0.0,0.0,0.0
dobsopa01,23665,13,414,279.0,6359.0,142,289,19.0,14,0.0,0.0,0.0,0.0,0.0
dobyla01,33201,19,1448,619.0,16141.0,3640,93,64.0,30,0.0,0.0,0.0,0.0,0.0
dockige01,3892,2,35,0.0,0.0,5,26,1.0,0,0.0,0.0,0.0,0.0,0.0
doddon01,3824,2,5,0.0,0.0,1,5,0.0,1,0.0,0.0,0.0,0.0,0.0
doddro01,1998,1,4,0.0,15.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
doddto01,1986,1,1,0.0,13.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
dodgejo01,9562,6,123,0.0,0.0,146,236,30.0,15,0.0,0.0,0.0,0.0,0.0
dodgesa01,3843,2,4,0.0,0.0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0
dodsopa01,5961,3,45,24.0,755.0,211,17,0.0,25,0.0,0.0,0.0,0.0,0.0
doefr01,3780,3,2,0.0,30.0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0
doerrbo01,27215,14,1852,0.0,0.0,4928,5710,214.0,1507,0.0,0.0,0.0,0.0,0.0
dohened01,18992,11,184,0.0,4179.0,72,417,72.0,11,0.0,0.0,0.0,0.0,0.0
doherjo01,3949,2,96,86.0,2234.0,754,44,9.0,75,0.0,0.0,0.0,0.0,0.0
doherjo02,9970,5,148,61.0,1564.0,43,85,6.0,10,0.0,0.0,0.0,0.0,0.0
dohmasc01,12036,7,164,0.0,518.0,14,8,1.0,1,0.0,0.0,0.0,0.0,0.0
dolanbi01,1914,1,31,0.0,0.0,310,19,7.0,14,0.0,0.0,0.0,0.0,0.0
dolanco01,39956,26,824,407.0,21021.0,1734,226,122.0,42,0.0,0.0,0.0,0.0,0.0
dolanco02,24865,15,342,1.0,45.0,523,260,82.0,22,0.0,0.0,0.0,0.0,0.0
dolanjo01,11352,6,40,0.0,885.0,14,54,7.0,1,0.0,0.0,0.0,0.0,0.0
dolanjo02,22794,16,321,0.0,8115.0,569,1010,153.0,106,0.0,0.0,0.0,0.0,0.0
dolanto01,32025,22,230,0.0,5724.0,972,301,127.0,13,190.0,0.0,0.0,0.0,0.0
dolele01,1875,1,1,0.0,45.0,3,0,1.0,0,0.0,0.0,0.0,0.0,0.0
dolisra01,6036,3,40,0.0,133.0,1,4,1.0,1,0.0,0.0,0.0,0.0,0.0
doljafr01,13537,7,152,0.0,0.0,327,20,24.0,5,0.0,0.0,0.0,0.0,0.0
dollar01,5809,3,7,0.0,0.0,11,5,2.0,1,0.0,0.0,0.0,0.0,0.0
